Run,AvgSpotLen,Bases,BioProject,BioSample,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,SRA Study,ArrayExpress-SPECIES
ERR2810470,302,15142345836,PRJEB21343,SAMEA104139121,ERX2817562,HiSeq X Ten,DN495194E:A10,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia callainos
ERR2810472,302,13121074634,PRJEB21343,SAMEA104139123,ERX2817564,HiSeq X Ten,DN495194E:D10,PAIRED,RANDOM,GENOMIC,Copadichromis trimaculatus,ILLUMINA,ERP023585,Copadichromis trimaculatus
ERR2810473,302,17692751238,PRJEB21343,SAMEA104139124,ERX2817565,HiSeq X Ten,DN495194E:E10,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2810475,302,15396775098,PRJEB21343,SAMEA104139127,ERX2817567,HiSeq X Ten,DN495191B:F1,PAIRED,RANDOM,GENOMIC,Copadichromis borleyi,ILLUMINA,ERP023585,Copadichromis borleyi
ERR2810476,302,15138875252,PRJEB21343,SAMEA104139128,ERX2817568,HiSeq X Ten,DN495191B:F2,PAIRED,RANDOM,GENOMIC,Maylandia estherae,ILLUMINA,ERP023585,Maylandia estherae
ERR2810471,302,15332385074,PRJEB21343,SAMEA104139122,ERX2817563,HiSeq X Ten,DN495194E:C10,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2810474,302,14488592242,PRJEB21343,SAMEA104139125,ERX2817566,HiSeq X Ten,DN495194E:F10,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2810477,302,18126321766,PRJEB21343,SAMEA104139129,ERX2817569,HiSeq X Ten,DN495191B:G2,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2810478,302,16045009642,PRJEB21343,SAMEA104139130,ERX2817570,HiSeq X Ten,DN495191B:H2,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2810479,302,17825128710,PRJEB21343,SAMEA104139138,ERX2817571,HiSeq X Ten,DN495191B:D4,PAIRED,RANDOM,GENOMIC,Copadichromis chrysonotus,ILLUMINA,ERP023585,Copadichromis chrysonotus
ERR2810480,302,17615817342,PRJEB21343,SAMEA104139148,ERX2817572,HiSeq X Ten,DN495191B:A7,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2810481,302,17246343294,PRJEB21343,SAMEA104139149,ERX2817573,HiSeq X Ten,DN495191B:B7,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2810482,302,16243488270,PRJEB21343,SAMEA104139150,ERX2817574,HiSeq X Ten,DN495191B:C7,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2810483,302,17259679010,PRJEB21343,SAMEA104139151,ERX2817575,HiSeq X Ten,DN495191B:D7,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2810484,302,21465573516,PRJEB21343,SAMEA104139152,ERX2817576,HiSeq X Ten,DN495191B:E7,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2810485,302,18526148626,PRJEB21343,SAMEA104139153,ERX2817577,HiSeq X Ten,DN495191B:F7,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2810486,302,20534599324,PRJEB21343,SAMEA104139154,ERX2817578,HiSeq X Ten,DN495191B:G7,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2810487,302,17073055694,PRJEB21343,SAMEA104139155,ERX2817579,HiSeq X Ten,DN495191B:H7,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2810488,302,19699114210,PRJEB21343,SAMEA104139156,ERX2817580,HiSeq X Ten,DN495191B:A8,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2810489,302,18468253414,PRJEB21343,SAMEA104139157,ERX2817581,HiSeq X Ten,DN495191B:B8,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2810490,302,17129324032,PRJEB21343,SAMEA104139158,ERX2817582,HiSeq X Ten,DN495191B:C8,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2810491,302,18056896194,PRJEB21343,SAMEA104139159,ERX2817583,HiSeq X Ten,DN495191B:D8,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2810492,302,18728690362,PRJEB21343,SAMEA104139160,ERX2817584,HiSeq X Ten,DN495191B:E8,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2810493,302,18846724646,PRJEB21343,SAMEA104139161,ERX2817585,HiSeq X Ten,DN495191B:F8,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2810494,302,13981924728,PRJEB21343,SAMEA104139228,ERX2817586,HiSeq X Ten,DN490201M:A9,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2810495,302,15031697566,PRJEB21343,SAMEA104139229,ERX2817587,HiSeq X Ten,DN490201M:B9,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2810496,302,15872470096,PRJEB21343,SAMEA104139230,ERX2817588,HiSeq X Ten,DN490201M:C9,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2810497,302,16522217358,PRJEB21343,SAMEA104139231,ERX2817589,HiSeq X Ten,DN490201M:D9,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2810498,302,16058613836,PRJEB21343,SAMEA104139232,ERX2817590,HiSeq X Ten,DN490201M:E9,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2810499,302,16194943582,PRJEB21343,SAMEA104139233,ERX2817591,HiSeq X Ten,DN490201M:F9,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2810500,302,18851691338,PRJEB21343,SAMEA104139234,ERX2817592,HiSeq X Ten,DN490201M:G9,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2810501,302,17890339268,PRJEB21343,SAMEA104139235,ERX2817593,HiSeq X Ten,DN490201M:H9,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2818953,302,13811589178,PRJEB21343,SAMEA104139236,ERX2825760,HiSeq X Ten,DN490201M:A10,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
