,Run,AvgSpotLen,Bases,BioProject,BioSample,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,SRA Study,ArrayExpress-SPECIES
0,ERR14733544,302,14999559028,PRJEB21343,SAMEA117805912,ERX14134969,HiSeq X Ten,DN495173W:A7,PAIRED,RANDOM,GENOMIC,Alticorpus peterdaviesi,ILLUMINA,ERP023585,Alticorpus peterdaviesi
1,ERR14733545,302,15624833116,PRJEB21343,SAMEA117805913,ERX14134970,HiSeq X Ten,DN495173W:B7,PAIRED,RANDOM,GENOMIC,Alticorpus peterdaviesi,ILLUMINA,ERP023585,Alticorpus peterdaviesi
2,ERR14733546,302,16560300766,PRJEB21343,SAMEA117805914,ERX14134971,HiSeq X Ten,DN495173W:C7,PAIRED,RANDOM,GENOMIC,Lethrinops atrilabris,ILLUMINA,ERP023585,Lethrinops atrilabris
3,ERR14733547,302,15754503158,PRJEB21343,SAMEA117805915,ERX14134972,HiSeq X Ten,DN495173W:D7,PAIRED,RANDOM,GENOMIC,Aulonocara sp. 'six bar Cape Maclear 2016',ILLUMINA,ERP023585,Aulonocara sp. 'six bar'
4,ERR14733548,302,17983322350,PRJEB21343,SAMEA117805916,ERX14134973,HiSeq X Ten,DN495173W:E7,PAIRED,RANDOM,GENOMIC,Aulonocara sp. 'yellow',ILLUMINA,ERP023585,Aulonocara sp. 'yellow'
5,ERR14733549,302,17131792882,PRJEB21343,SAMEA117805917,ERX14134974,HiSeq X Ten,DN495173W:F7,PAIRED,RANDOM,GENOMIC,Aulonocara sp. 'yellow',ILLUMINA,ERP023585,Aulonocara sp. 'yellow'
6,ERR14733551,302,15748497888,PRJEB21343,SAMEA117805919,ERX14134976,HiSeq X Ten,DN495173W:H7,PAIRED,RANDOM,GENOMIC,Otopharynx panniculus,ILLUMINA,ERP023585,Otopharynx panniculus
7,ERR14733562,302,15811732158,PRJEB21343,SAMEA117805979,ERX14134987,HiSeq X Ten,DN495179F:C9,PAIRED,RANDOM,GENOMIC,Lethrinops cf. albus 'deep-water',ILLUMINA,ERP023585,Lethrinops cf. albus 'deep-water'
8,ERR14733563,302,17753770640,PRJEB21343,SAMEA117805981,ERX14134988,HiSeq X Ten,DN495179F:D9,PAIRED,RANDOM,GENOMIC,Lethrinops gossei,ILLUMINA,ERP023585,Lethrinops gossei
9,ERR14733564,302,16503933976,PRJEB21343,SAMEA117805982,ERX14134989,HiSeq X Ten,DN495179F:E9,PAIRED,RANDOM,GENOMIC,Lethrinops gossei,ILLUMINA,ERP023585,Lethrinops gossei
10,ERR14733565,302,17541577890,PRJEB21343,SAMEA117805985,ERX14134990,HiSeq X Ten,DN495179F:F9,PAIRED,RANDOM,GENOMIC,Lethrinops gossei,ILLUMINA,ERP023585,Lethrinops gossei
11,ERR14733566,302,19657590418,PRJEB21343,SAMEA117805998,ERX14134991,HiSeq X Ten,DN495179F:G9,PAIRED,RANDOM,GENOMIC,Aulonocara sp. 'deep',ILLUMINA,ERP023585,Aulonocara sp. 'deep'
12,ERR14733745,302,17158600214,PRJEB21343,SAMEA117806005,ERX14135170,HiSeq X Ten,DN495172V:A8,PAIRED,RANDOM,GENOMIC,Aulonocara sp. 'deep',ILLUMINA,ERP023585,Aulonocara sp. 'deep'
13,ERR14733746,302,15470567590,PRJEB21343,SAMEA117806006,ERX14135171,HiSeq X Ten,DN495172V:B8,PAIRED,RANDOM,GENOMIC,Aulonocara sp. 'minutus',ILLUMINA,ERP023585,Aulonocara sp. 'minutus'
14,ERR14733747,302,15953338750,PRJEB21343,SAMEA117806007,ERX14135172,HiSeq X Ten,DN495172V:C8,PAIRED,RANDOM,GENOMIC,Aulonocara sp. 'minutus',ILLUMINA,ERP023585,Aulonocara sp. 'minutus'
