Run,AvgSpotLen,Bases,BioProject,BioSample,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,SRA Study,ArrayExpress-SPECIES
ERR14733569,302,16501086116,PRJEB21343,SAMEA117806029,ERX14134994,HiSeq X Ten,DN495179F:B10,PAIRED,RANDOM,GENOMIC,Taeniolethrinops sp. 'furcicauda yellow Makanjira 2016',ILLUMINA,ERP023585,Taeniolethrinops sp. 'furcicauda yellow Makanjira 2016'
ERR14733570,302,15307004390,PRJEB21343,SAMEA117806030,ERX14134995,HiSeq X Ten,DN495179F:C10,PAIRED,RANDOM,GENOMIC,Lethrinops parvidens,ILLUMINA,ERP023585,Lethrinops parvidens
ERR14733665,302,15232335494,PRJEB21343,SAMEA117806056,ERX14135090,HiSeq X Ten,DN495179F:A1,PAIRED,RANDOM,GENOMIC,Lethrinops lethrinus,ILLUMINA,ERP023585,Lethrinops lethrinus
ERR14733666,302,18336873448,PRJEB21343,SAMEA117806057,ERX14135091,HiSeq X Ten,DN495179F:B1,PAIRED,RANDOM,GENOMIC,Lethrinops lethrinus,ILLUMINA,ERP023585,Lethrinops lethrinus
ERR14733667,302,15922203758,PRJEB21343,SAMEA117806058,ERX14135092,HiSeq X Ten,DN495179F:C1,PAIRED,RANDOM,GENOMIC,Lethrinops lethrinus,ILLUMINA,ERP023585,Lethrinops lethrinus
ERR14733742,302,15788000092,PRJEB21343,SAMEA117805784,ERX14135167,HiSeq X Ten,DN495170T:F3,PAIRED,RANDOM,GENOMIC,Taeniolethrinops sp. 'praeorbitalis northern Chilumba 2016',ILLUMINA,ERP023585,Taeniolethrinops sp. 'praeorbitalis northern Chilumba 2016'
ERR14733775,302,16319194536,PRJEB21343,SAMEA117806048,ERX14135200,HiSeq X Ten,DN495173W:H11,PAIRED,RANDOM,GENOMIC,Tramitichromis sp. 'red gular',ILLUMINA,ERP023585,Tramitichromis sp. 'red gular'
ERR14733781,302,15284894970,PRJEB21343,SAMEA117806069,ERX14135206,HiSeq X Ten,DN495179F:F2,PAIRED,RANDOM,GENOMIC,Tramitichromis intermedius,ILLUMINA,ERP023585,Tramitichromis intermedius
ERR14733903,302,15237342956,PRJEB21343,SAMEA117805804,ERX14135328,HiSeq X Ten,DN495170T:D5,PAIRED,RANDOM,GENOMIC,Tramitichromis sp. 'east-coast shallow',ILLUMINA,ERP023585,Tramitichromis sp. 'east-coast shallow'
ERR14733939,302,17436770300,PRJEB21343,SAMEA117805498,ERX14135364,HiSeq X Ten,DN495170T:H10,PAIRED,RANDOM,GENOMIC,Lethrinops cf. oculatus,ILLUMINA,ERP023585,Lethrinops cf. oculatus
ERR14734023,302,14905780176,PRJEB21343,SAMEA117805944,ERX14135448,HiSeq X Ten,DN495172V:F1,PAIRED,RANDOM,GENOMIC,Tramitichromis sp. 'east-coast shallow',ILLUMINA,ERP023585,Tramitichromis sp. 'east-coast shallow'
ERR14734106,302,16120959018,PRJEB21343,SAMEA117805890,ERX14135531,HiSeq X Ten,DN495173W:C4,PAIRED,RANDOM,GENOMIC,Lethrinops longipinnis,ILLUMINA,ERP023585,Lethrinops longipinnis
ERR14734107,302,17401622030,PRJEB21343,SAMEA117805891,ERX14135532,HiSeq X Ten,DN495173W:D4,PAIRED,RANDOM,GENOMIC,Lethrinops longipinnis,ILLUMINA,ERP023585,Lethrinops longipinnis
ERR14734158,302,14916673014,PRJEB21343,SAMEA117805482,ERX14135583,HiSeq X Ten,DN490206R:C1,PAIRED,RANDOM,GENOMIC,Taeniolethrinops laticeps,ILLUMINA,ERP023585,Taeniolethrinops laticeps
ERR14734161,302,14967342574,PRJEB21343,SAMEA117805488,ERX14135586,HiSeq X Ten,DN490206R:F1,PAIRED,RANDOM,GENOMIC,Tramitichromis sp. 'kande',ILLUMINA,ERP023585,Tramitichromis sp. 'kande'
ERR14734293,302,17286966522,PRJEB21343,SAMEA117806053,ERX14135718,HiSeq X Ten,DN495173W:F12,PAIRED,RANDOM,GENOMIC,Lethrinops lethrinus,ILLUMINA,ERP023585,Lethrinops lethrinus
ERR14734294,302,18735656898,PRJEB21343,SAMEA117806054,ERX14135719,HiSeq X Ten,DN495173W:G12,PAIRED,RANDOM,GENOMIC,Lethrinops lethrinus,ILLUMINA,ERP023585,Lethrinops lethrinus
ERR14734295,302,15587038118,PRJEB21343,SAMEA117806055,ERX14135720,HiSeq X Ten,DN495173W:H12,PAIRED,RANDOM,GENOMIC,Lethrinops lethrinus,ILLUMINA,ERP023585,Lethrinops lethrinus
ERR14734352,302,20270907118,PRJEB21343,SAMEA117806153,ERX14135777,HiSeq X Ten,DN495191B:C9,PAIRED,RANDOM,GENOMIC,Lethrinops lethrinus,ILLUMINA,ERP023585,Lethrinops lethrinus
ERR14734355,302,18624575258,PRJEB21343,SAMEA117806173,ERX14135780,HiSeq X Ten,DN495191B:F9,PAIRED,RANDOM,GENOMIC,Lethrinops lethrinus,ILLUMINA,ERP023585,Lethrinops lethrinus
ERR14734356,302,22822594208,PRJEB21343,SAMEA117806174,ERX14135781,HiSeq X Ten,DN495191B:G9,PAIRED,RANDOM,GENOMIC,Lethrinops lethrinus,ILLUMINA,ERP023585,Lethrinops lethrinus
ERR14734357,302,19536411710,PRJEB21343,SAMEA117806175,ERX14135782,HiSeq X Ten,DN495191B:H9,PAIRED,RANDOM,GENOMIC,Lethrinops lethrinus,ILLUMINA,ERP023585,Lethrinops lethrinus
