sequence_id	specimen_id	seq_depth	genus	species	sex	clade	location	sublocation	Biosample	Bioproject	Inversion10
cichlid7020305	D19-E05	16.35	Astatotilapia	calliptera	M	AstCal	Lake_Malombe	Chimwala	SAMEA117806043	PRJEB21343	
cichlid7020306	D19-E06	17.87	Astatotilapia	calliptera	M	AstCal	Lake_Malombe	Chimwala	SAMEA117806044	PRJEB21343	
cichlid7020307	D19-E07	18.92	Astatotilapia	calliptera	M	AstCal	Lake_Malombe	Chimwala	SAMEA117806045	PRJEB21343	
cichlid7020308	D19-E08	18.12	Astatotilapia	calliptera	M	AstCal	Lake_Malombe	Chimwala	SAMEA117806046	PRJEB21343	
cichlid7020309	D19-E09	16.6	Astatotilapia	calliptera	M	AstCal	Lake_Malombe	Chimwala	SAMEA117806047	PRJEB21343	
cichlid7020340	D22-G01	17.48	Astatotilapia	calliptera	M	AstCal	Southwest_arm	Msaka	SAMEA117806075	PRJEB21343	
cichlid7020341	D22-G02	17.79	Astatotilapia	calliptera	M	AstCal	Southwest_arm	Msaka	SAMEA117806076	PRJEB21343	
cichlid7020342	D22-G03	17.03	Astatotilapia	calliptera	U	AstCal	Southwest_arm	Msaka	SAMEA117806077	PRJEB21343	
cichlid7050762	D16-D05	18.57	Astatotilapia	calliptera	M	AstCal	Lake_Kingiri		SAMEA117806255	PRJEB21343	
cichlid7050763	D16-D06	15.74	Astatotilapia	calliptera	M	AstCal	Lake_Kingiri		SAMEA117806256	PRJEB21343	
cichlid7050764	D16-D07	15.8	Astatotilapia	calliptera	M	AstCal	Lake_Kingiri		SAMEA117806257	PRJEB21343	
cichlid7050765	D16-D08	13.12	Astatotilapia	calliptera	M	AstCal	Lake_Kingiri		SAMEA117806258	PRJEB21343	
cichlid7050766	D16-D09	16.52	Astatotilapia	calliptera	M	AstCal	Lake_Kingiri		SAMEA117806259	PRJEB21343	
cichlid7050767	D16-E01	17.21	Astatotilapia	calliptera	M	AstCal	Lake_Kingiri		SAMEA117806260	PRJEB21343	
cichlid7050768	D16-E02	16.59	Astatotilapia	calliptera	M	AstCal	Lake_Kingiri		SAMEA117806261	PRJEB21343	
cichlid7050769	D16-E03	16.78	Astatotilapia	calliptera	M	AstCal	Lake_Kingiri		SAMEA117806262	PRJEB21343	
cichlid7050770	D16-E04	16.91	Astatotilapia	calliptera	M	AstCal	Lake_Kingiri		SAMEA117806263	PRJEB21343	
cichlid7050771	D16-E05	18.84	Astatotilapia	calliptera	M	AstCal	Lake_Kingiri		SAMEA117806264	PRJEB21343	
cichlid7050772	D16-E06	18.11	Astatotilapia	calliptera	M	AstCal	Lake_Kingiri		SAMEA117806265	PRJEB21343	
cichlid7050773	D16-E07	16.71	Astatotilapia	calliptera	M	AstCal	Lake_Kingiri		SAMEA117806266	PRJEB21343	
cichlid7050774	D16-E08	15.73	Astatotilapia	calliptera	M	AstCal	Lake_Kingiri		SAMEA117806267	PRJEB21343	
cichlid7050775	D16-E09	15.45	Astatotilapia	calliptera	M	AstCal	Lake_Kingiri		SAMEA117806268	PRJEB21343	
cichlid7050776	D16-F01	15.99	Astatotilapia	calliptera	M	AstCal	Lake_Kingiri		SAMEA117806269	PRJEB21343	
cichlid7050777	D16-F02	17.38	Astatotilapia	calliptera	M	AstCal	Lake_Kingiri		SAMEA117806270	PRJEB21343	
cichlid7050778	D16-F03	18.63	Astatotilapia	calliptera	M	AstCal	Lake_Kingiri		SAMEA117806271	PRJEB21343	
cichlid7050779	D16-F04	18.36	Astatotilapia	calliptera	M	AstCal	Lake_Kingiri		SAMEA117806272	PRJEB21343	
cichlid7050780	D16-F05	18.54	Astatotilapia	calliptera	M	AstCal	Lake_Kingiri		SAMEA117806273	PRJEB21343	
cichlid7050781	D16-F06	18.01	Astatotilapia	calliptera	M	AstCal	Lake_Kingiri		SAMEA117806274	PRJEB21343	
ILBCDS5438962	CALM	48.3	Astatotilapia	calliptera	F	AstCal	Salima		SAMEA1920092	PRJEB1254	
ILBCDS5438963	CALF	46.15	Astatotilapia	calliptera	M	AstCal	Salima		SAMEA1920090	PRJEB1254	
