Index,SampleID,Organism_ad,GenomeVersion,RunIDs,Coverage,TotalReads,InversionReads,DuplicationReads,ClippedReads,ChimericReads,bwa_version,gatk_version,pysam_version,BamSize,ProjectID,UnmappedReads,DiscordantReads,File,Organism_lmf,Ecogroup
0,MZ_1_m,Maylandia zebra,Mzebra_UMD2a,"PM18_MZ_1_m_L1,,PM18_MZ_1_m_L2",69.24864875,264161596,3411450,932618,7051446,25192018,0.7.17,4.2.6.1,0.15.3,40203965693,ReferenceImprovement,865599,15639960,unknown,Maylandia zebra,Mbuna
1,CV_2_f,Maylandia zebra,Mzebra_UMD2a,"PM18_CV_2_f_L1,,PM18_CV_2_f_L2",51.96347938,198224166,1361050,786734,5925906,19908845,0.7.17,4.2.6.1,0.15.3,30749061418,ReferenceImprovement,314000,13838944,unknown,Copadichromis virginalis,Utaka
2,CV_1_m,Maylandia zebra,Mzebra_UMD2a,"PM18_CV_1_m_L1,,PM18_CV_1_m_L2",53.82911206,205340962,1958830,874880,6169275,21814818,0.7.17,4.2.6.1,0.15.3,31934751587,ReferenceImprovement,674811,14475804,unknown,Copadichromis virginalis,Utaka
3,MZ_2_f,Maylandia zebra,Mzebra_UMD2a,"PM18_MZ_2_f_L1,,PM18_MZ_2_f_L2",57.69662939,220094312,2194660,767752,5727381,19782405,0.7.17,4.2.6.1,0.15.3,33370213363,ReferenceImprovement,250999,12505504,unknown,Maylandia zebra,Mbuna
4,MC_1_m,Maylandia zebra,Mzebra_UMD2a,"PM18_MC_1_m_L1,,PM18_MC_1_m_L2",49.03741108,187062145,2177974,662084,5601497,18426571,0.7.17,4.2.6.1,0.15.3,28976980408,ReferenceImprovement,643214,12356702,unknown,Mchenga conophoros,Utaka
5,YH_1_m,Maylandia zebra,Mzebra_UMD2a,"PM18_YH_1_m_L1,,PM18_YH_1_m_L2",51.51041308,196495862,1772926,777434,5831471,18863816,0.7.17,4.2.6.1,0.15.3,30499084317,ReferenceImprovement,696942,13209616,unknown,Aulonocara sp. Chitande,Deep_Benthic
6,MC_2_f,Maylandia zebra,Mzebra_UMD2a,"PM18_MC_2_f_L1,,PM18_MC_2_f_L2",67.12875558,256074877,1725056,967412,7756273,26385230,0.7.17,4.2.6.1,0.15.3,39786823389,ReferenceImprovement,876847,17800030,unknown,Mchenga conophoros,Utaka
7,SAMN08051120,Maylandia zebra,Mzebra_UMD2a,SRR6314227,14.22765367,136227687,154522,108066,1643480,1292485,0.7.17,4.2.6.1,0.15.3,10371414385,RockSand_v1,2013626,3468272,RockSand_v1/SRR6314227.unmapped_marked_adapters.bam,Cyathochromis obliquidens,Mbuna
8,SAMN06701600,Maylandia zebra,Mzebra_UMD2a,SRR5438107,19.40775512,185826395,281858,91836,1754439,2167470,0.7.17,4.2.6.1,0.15.3,14343949363,RockSand_v1,78477920,3021064,RockSand_v1/SRR5438107.unmapped_marked_adapters.bam,Mylochromis anaphyrmus,Shallow_Benthic
9,SAMN06685753,Maylandia zebra,Mzebra_UMD2a,SRR5438122,17.81048281,170532748,193574,146452,2303687,1860236,0.7.17,4.2.6.1,0.15.3,12581752821,RockSand_v1,21255840,4254368,RockSand_v1/SRR5438122.unmapped_marked_adapters.bam,Taeniolethrinops furcicauda,Shallow_Benthic
10,SAMN06685764,Maylandia zebra,Mzebra_UMD2a,SRR5438113,20.85028396,199638396,226688,129290,2761058,2269424,0.7.17,4.2.6.1,0.15.3,15162766184,RockSand_v1,36796349,4234568,RockSand_v1/SRR5438113.unmapped_marked_adapters.bam,Nimbochromis polystigma,Shallow_Benthic
11,SAMN08051115,Maylandia zebra,Mzebra_UMD2a,SRR6314226,24.2815845,232492593,279924,175468,2833342,2133752,0.7.17,4.2.6.1,0.15.3,19780087096,RockSand_v1,2581562,8515986,RockSand_v1/SRR6314226.unmapped_marked_adapters.bam,Cynotilapia afra,Mbuna
12,SAMN06685763,Maylandia zebra,Mzebra_UMD2a,SRR5438106,25.55301869,244666388,550568,247822,3699800,3454751,0.7.17,4.2.6.1,0.15.3,20014261057,RockSand_v1,5431624,8066148,RockSand_v1/SRR5438106.unmapped_marked_adapters.bam,Mylochromis sphaerodon,Shallow_Benthic
13,SAMN06685757,Maylandia zebra,Mzebra_UMD2a,SRR5438119,35.6016731,340880773,360230,300380,5231010,4488312,0.7.17,4.2.6.1,0.15.3,28527129800,RockSand_v1,5430816,9606998,RockSand_v1/SRR5438119.unmapped_marked_adapters.bam,Copadichromis virginalis,Utaka
14,SAMN06685712,Maylandia zebra,Mzebra_UMD2a,SRR5438125,36.33844977,347935301,331934,276010,5289607,4363774,0.7.17,4.2.6.1,0.15.3,28609357797,RockSand_v1,4430554,8598440,RockSand_v1/SRR5438125.unmapped_marked_adapters.bam,Mchenga conophoros,Shallow_Benthic
15,SAMN06685759,Maylandia zebra,Mzebra_UMD2a,SRR5438117,35.1788243,336832058,318774,328038,4962906,3396734,0.7.17,4.2.6.1,0.15.3,27998349257,RockSand_v1,12546296,9873512,RockSand_v1/SRR5438117.unmapped_marked_adapters.bam,Astatotilapia calliptera,AC
16,SAMEA6147764,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR3634115,31.87755028,202134335,466822,526984,5933033,10525674,0.7.17,4.2.6.0,0.15.3,21930130092,PRJEB15289,1695842,13497678,PRJEB15289/ERR3634115.unmapped_marked_adapters.bam,Astatotilapia rufiji blue,Riverine
