Run,AvgSpotLen,Bases,BioProject,BioSample,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,SRA Study,FileLocations
PM20_AG_2203_m_L001,302,0,BrainDiversity_s1,AG_2203_m,BrainDiversity_s1,Illumina NovaSeq,AG_2203_m_Library,PAIRED,Nextera XT,GENOMIC,Aulonocara gertrudae,ILLUMINA,BrainDiversity_s1,"PM20/PM20_AG_2203_m_L001_ds.a2889ccb8a974ab9bd0629f2aa4dda4f/AG_2203_m_R1_001.fastq.gz,,PM20/PM20_AG_2203_m_L001_ds.a2889ccb8a974ab9bd0629f2aa4dda4f/AG_2203_m_R2_001.fastq.gz"
PM20_AG_2203_m_L002,302,0,BrainDiversity_s1,AG_2203_m,BrainDiversity_s1,Illumina NovaSeq,AG_2203_m_Library,PAIRED,Nextera XT,GENOMIC,Aulonocara gertrudae,ILLUMINA,BrainDiversity_s1,"PM20/PM20_AG_2203_m_L002_ds.ac9dfd8361e4450a823ca37ed25c2b73/AG_2203_m_R1_001.fastq.gz,,PM20/PM20_AG_2203_m_L002_ds.ac9dfd8361e4450a823ca37ed25c2b73/AG_2203_m_R2_001.fastq.gz"
PM20_CJ_2204_m_L001,302,0,BrainDiversity_s1,CJ_2204_m,BrainDiversity_s1,Illumina NovaSeq,CJ_2204_m_Library,PAIRED,Nextera XT,GENOMIC,Copadichromis jacksoni,ILLUMINA,BrainDiversity_s1,"PM20/PM20_CJ_2204_m_L001_ds.287e40fde0e94442858aef45ef204257/CJ_2204_m_R1_001.fastq.gz,,PM20/PM20_CJ_2204_m_L001_ds.287e40fde0e94442858aef45ef204257/CJ_2204_m_R2_001.fastq.gz"
PM20_CJ_2204_m_L002,302,0,BrainDiversity_s1,CJ_2204_m,BrainDiversity_s1,Illumina NovaSeq,CJ_2204_m_Library,PAIRED,Nextera XT,GENOMIC,Copadichromis jacksoni,ILLUMINA,BrainDiversity_s1,"PM20/PM20_CJ_2204_m_L002_ds.70b2ee755a034ded8fd8824b29d3704f/CJ_2204_m_R1_001.fastq.gz,,PM20/PM20_CJ_2204_m_L002_ds.70b2ee755a034ded8fd8824b29d3704f/CJ_2204_m_R2_001.fastq.gz"
PM20_CK_1003_pm_L001,302,0,BrainDiversity_s1,CK_1003_p,BrainDiversity_s1,Illumina NovaSeq,CK_1003_p_Library,PAIRED,Nextera XT,GENOMIC,"Copadichromis sp. ""Kawanga"" (Makonde)",ILLUMINA,BrainDiversity_s1,"PM20/PM20_CK_1003_pm_L001_ds.a7113fa3649f4480982df2dabe6a18e2/CK_1003_p_R1_001.fastq.gz,,PM20/PM20_CK_1003_pm_L001_ds.a7113fa3649f4480982df2dabe6a18e2/CK_1003_p_R2_001.fastq.gz"
PM20_CK_1003_pm_L002,302,0,BrainDiversity_s1,CK_1003_p,BrainDiversity_s1,Illumina NovaSeq,CK_1003_p_Library,PAIRED,Nextera XT,GENOMIC,"Copadichromis sp. ""Kawanga"" (Makonde)",ILLUMINA,BrainDiversity_s1,"PM20/PM20_CK_1003_pm_L002_ds.af7a3697ebd5408baa49572f4fec3530/CK_1003_p_R1_001.fastq.gz,,PM20/PM20_CK_1003_pm_L002_ds.af7a3697ebd5408baa49572f4fec3530/CK_1003_p_R2_001.fastq.gz"
PM20_LA_3006_m_L001,302,0,BrainDiversity_s1,LA_3006_m,BrainDiversity_s1,Illumina NovaSeq,LA_3006_m_Library,PAIRED,Nextera XT,GENOMIC,Lethrinops cf. albus,ILLUMINA,BrainDiversity_s1,"PM20/PM20_LA_3006_m_L001_ds.5e93e6fcb96d41bda58ca6138cb1c5bb/LA_3006_m_R1_001.fastq.gz,,PM20/PM20_LA_3006_m_L001_ds.5e93e6fcb96d41bda58ca6138cb1c5bb/LA_3006_m_R2_001.fastq.gz"
PM20_LA_3006_m_L002,302,0,BrainDiversity_s1,LA_3006_m,BrainDiversity_s1,Illumina NovaSeq,LA_3006_m_Library,PAIRED,Nextera XT,GENOMIC,Lethrinops cf. albus,ILLUMINA,BrainDiversity_s1,"PM20/PM20_LA_3006_m_L002_ds.3bddb0ab306c4c73b12fefcf802d8e96/LA_3006_m_R1_001.fastq.gz,,PM20/PM20_LA_3006_m_L002_ds.3bddb0ab306c4c73b12fefcf802d8e96/LA_3006_m_R2_001.fastq.gz"
PM20_LI_3003_m_L001,302,0,BrainDiversity_s1,LI_3003_m,BrainDiversity_s1,Illumina NovaSeq,LI_3003_m_Library,PAIRED,Nextera XT,GENOMIC,"Lethrinops sp. green face Manda (Lethrinops furcifer ""Manda"")",ILLUMINA,BrainDiversity_s1,"PM20/PM20_LI_3003_m_L001_ds.82b9d1be0ea44f79b454152dcd2ffa77/LI_3003_m_R1_001.fastq.gz,,PM20/PM20_LI_3003_m_L001_ds.82b9d1be0ea44f79b454152dcd2ffa77/LI_3003_m_R2_001.fastq.gz"
PM20_LI_3003_m_L002,302,0,BrainDiversity_s1,LI_3003_m,BrainDiversity_s1,Illumina NovaSeq,LI_3003_m_Library,PAIRED,Nextera XT,GENOMIC,"Lethrinops sp. green face Manda (Lethrinops furcifer ""Manda"")",ILLUMINA,BrainDiversity_s1,"PM20/PM20_LI_3003_m_L002_ds.e02057617834484f9d0e71dfee08b2a9/LI_3003_m_R1_001.fastq.gz,,PM20/PM20_LI_3003_m_L002_ds.e02057617834484f9d0e71dfee08b2a9/LI_3003_m_R2_001.fastq.gz"
PM20_LM_4006_m_L001,302,0,BrainDiversity_s1,LM_4006_m,BrainDiversity_s1,Illumina NovaSeq,LM_4006_m_Library,PAIRED,Nextera XT,GENOMIC,"Lethrinops sp. green Itungi (Lethrinops furcifer ""Itungi"")",ILLUMINA,BrainDiversity_s1,"PM20/PM20_LM_4006_m_L001_ds.8b2520e1323c4fa0bb6c153816cbecdb/LM_4006_m_R1_001.fastq.gz,,PM20/PM20_LM_4006_m_L001_ds.8b2520e1323c4fa0bb6c153816cbecdb/LM_4006_m_R2_001.fastq.gz"
PM20_LM_4006_m_L002,302,0,BrainDiversity_s1,LM_4006_m,BrainDiversity_s1,Illumina NovaSeq,LM_4006_m_Library,PAIRED,Nextera XT,GENOMIC,"Lethrinops sp. green Itungi (Lethrinops furcifer ""Itungi"")",ILLUMINA,BrainDiversity_s1,"PM20/PM20_LM_4006_m_L002_ds.99653758d3524a7c9884dfeeba747ca7/LM_4006_m_R1_001.fastq.gz,,PM20/PM20_LM_4006_m_L002_ds.99653758d3524a7c9884dfeeba747ca7/LM_4006_m_R2_001.fastq.gz"
PM20_MF_2203_m_L001,302,0,BrainDiversity_s1,MF_2203_m,BrainDiversity_s1,Illumina NovaSeq,MF_2203_m_Library,PAIRED,Nextera XT,GENOMIC,Metriaclima Fainzilberi (Lundo Is.),ILLUMINA,BrainDiversity_s1,"PM20/PM20_MF_2203_m_L001_ds.b7f3405fc8ad4c3a915fc447639d5f33/MF_2203_m_R1_001.fastq.gz,,PM20/PM20_MF_2203_m_L001_ds.b7f3405fc8ad4c3a915fc447639d5f33/MF_2203_m_R2_001.fastq.gz"
PM20_MF_2203_m_L002,302,0,BrainDiversity_s1,MF_2203_m,BrainDiversity_s1,Illumina NovaSeq,MF_2203_m_Library,PAIRED,Nextera XT,GENOMIC,Metriaclima Fainzilberi (Lundo Is.),ILLUMINA,BrainDiversity_s1,"PM20/PM20_MF_2203_m_L002_ds.0a9ed06630494ead81ff0ed92dc33529/MF_2203_m_R1_001.fastq.gz,,PM20/PM20_MF_2203_m_L002_ds.0a9ed06630494ead81ff0ed92dc33529/MF_2203_m_R2_001.fastq.gz"
PM20_NL_1101_f_L001,302,0,BrainDiversity_s1,NL_1101_f,BrainDiversity_s1,Illumina NovaSeq,NL_1101_f_Library,PAIRED,Nextera XT,GENOMIC,Nimbochromis livingstoni,ILLUMINA,BrainDiversity_s1,"PM20/PM20_NL_1101_f_L001_ds.2d4f4def0ae14932a7a7b319cdf114e3/NL_1101_f_R1_001.fastq.gz,,PM20/PM20_NL_1101_f_L001_ds.2d4f4def0ae14932a7a7b319cdf114e3/NL_1101_f_R2_001.fastq.gz"
