Run,AvgSpotLen,Bases,BioProject,BioSample,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,SRA Study,ArrayExpress-SPECIES
ERR3634107,302,31840340482,PRJEB15289,SAMEA6147768,ERX3627795,HiSeq X Ten,DN461383W:E1,PAIRED,RANDOM,GENOMIC,Astatotilapia sp. 'rukwa blue',ILLUMINA,ERP017005,Astatotilapia rukwa blue
ERR3634108,302,27454946840,PRJEB15289,SAMEA6147767,ERX3627796,HiSeq X Ten,DN461383W:F1,PAIRED,RANDOM,GENOMIC,Astatotilapia sp. 'rukwa sunset',ILLUMINA,ERP017005,Astatotilapia rukwa sunset
ERR3634109,302,29880616578,PRJEB15289,SAMEA6147765,ERX3627797,HiSeq X Ten,DN461383W:G1,PAIRED,RANDOM,GENOMIC,Astatotilapia sp. 'rukwa large yellow',ILLUMINA,ERP017005,Astatotilapia rukwa large yellow
ERR3634110,302,27587069424,PRJEB15289,SAMEA6147769,ERX3627798,HiSeq X Ten,DN461383W:A2,PAIRED,RANDOM,GENOMIC,Astatotilapia sp. 'Ruaha',ILLUMINA,ERP017005,Astatotilapia ruaha blue
ERR3634111,302,32771478660,PRJEB15289,SAMEA6147766,ERX3627799,HiSeq X Ten,DN461383W:B2,PAIRED,RANDOM,GENOMIC,Haplochromis vanheusdeni,ILLUMINA,ERP017005,Haplochromis vanheusdeni
ERR3634112,302,30338484214,PRJEB15289,SAMEA6147771,ERX3627800,HiSeq X Ten,DN461383W:C2,PAIRED,RANDOM,GENOMIC,Astatotilapia sp. 'longfin yellow',ILLUMINA,ERP017005,Astatotilapia ruaha yellow
ERR3634113,302,23917803852,PRJEB15289,SAMEA6147772,ERX3627801,HiSeq X Ten,DN461383W:E2,PAIRED,RANDOM,GENOMIC,Astatotilapia sp. 'ruaha red cheek',ILLUMINA,ERP017005,Astatotilapia ruaha yellow
ERR3634114,302,30358601038,PRJEB15289,SAMEA6147770,ERX3627802,HiSeq X Ten,DN461234K:E12,PAIRED,RANDOM,GENOMIC,Astatotilapia sp. 'Blue Rufiji',ILLUMINA,ERP017005,Astatotilapia rufiji blue
ERR3634115,302,29683024018,PRJEB15289,SAMEA6147764,ERX3627803,HiSeq X Ten,DN461234K:F12,PAIRED,RANDOM,GENOMIC,Astatotilapia sp. 'Blue Rufiji',ILLUMINA,ERP017005,Astatotilapia rufiji blue
ERR1822247,302,30183854174,PRJEB15289,SAMEA4032137,ERX1884749,HiSeq X Ten,DN461234K:E11,PAIRED,RANDOM,GENOMIC,Diplotaxodon sp. 'similis',ILLUMINA,ERP017005,Diplotaxodon similis
ERR1822248,302,32392518490,PRJEB15289,SAMEA4033330,ERX1884750,HiSeq X Ten,DN461234K:F11,PAIRED,RANDOM,GENOMIC,Dimidiochromis kiwinge,ILLUMINA,ERP017005,Dimidiochromis kiwinge
ERR1822249,302,33157518012,PRJEB15289,SAMEA4032138,ERX1884751,HiSeq X Ten,DN461234K:G11,PAIRED,RANDOM,GENOMIC,Dimidiochromis kiwinge,ILLUMINA,ERP017005,Dimidiochromis kiwinge
ERR1822250,302,33999548070,PRJEB15289,SAMEA4033333,ERX1884752,HiSeq X Ten,DN461234K:G12,PAIRED,RANDOM,GENOMIC,Astatotilapia bloyeti,ILLUMINA,ERP017005,Astatotilapia bloyeti
ERR1822251,302,38287680196,PRJEB15289,SAMEA4033334,ERX1884753,HiSeq X Ten,DN461234K:H12,PAIRED,RANDOM,GENOMIC,Astatotilapia bloyeti,ILLUMINA,ERP017005,Astatotilapia bloyeti
ERR1743775,302,30234733322,PRJEB15289,SAMEA4033335,ERX1812981,HiSeq X Ten,DN461383W:A1,PAIRED,RANDOM,GENOMIC,Serranochromis robustus,ILLUMINA,ERP017005,Serranochromis robustus
ERR1743776,302,30950771396,PRJEB15289,SAMEA4033336,ERX1812982,HiSeq X Ten,DN461383W:B1,PAIRED,RANDOM,GENOMIC,Serranochromis angusticeps,ILLUMINA,ERP017005,Serranochromis angusticeps
ERR1743777,302,30783027610,PRJEB15289,SAMEA4033337,ERX1812983,HiSeq X Ten,DN461383W:C1,PAIRED,RANDOM,GENOMIC,Pharyngochromis acuticeps,ILLUMINA,ERP017005,Pharyngochromis acuticeps
ERR1743778,302,28788187448,PRJEB15289,SAMEA4033338,ERX1812984,HiSeq X Ten,DN461383W:D1,PAIRED,RANDOM,GENOMIC,Ctenochromis pectoralis,ILLUMINA,ERP017005,Ctenochromis pectoralis
ERR1743779,302,35033938840,PRJEB15289,SAMEA4033339,ERX1812985,HiSeq X Ten,DN461383W:D2,PAIRED,RANDOM,GENOMIC,Haplochromis tweddlei,ILLUMINA,ERP017005,Astatotilapia tweddlei
ERR1743780,302,21708908506,PRJEB15289,SAMEA4033340,ERX1812986,HiSeq X Ten,DN461383W:F2,PAIRED,RANDOM,GENOMIC,Haplochromis tweddlei,ILLUMINA,ERP017005,Astatotilapia tweddlei
ERR1743781,302,21275424048,PRJEB15289,SAMEA4033341,ERX1812987,HiSeq X Ten,DN461383W:G2,PAIRED,RANDOM,GENOMIC,Astatotilapia bloyeti,ILLUMINA,ERP017005,Astatotilapia bloyeti
ERR1743782,302,29319131836,PRJEB15289,SAMEA4051559,ERX1812988,HiSeq X Ten,DN461383W:H2,PAIRED,RANDOM,GENOMIC,Copadichromis virginalis,ILLUMINA,ERP017005,Copadichromis virginalis
