Run,AvgSpotLen,Bases,BioProject,BioSample,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,SRA Study,FileLocations
MCYHBC1-509-1,300,0,low_coverage_fish,MCYHBC1-509-1,low_coverage_fish,Element AVITI,MCYHBC1-509-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-509-1-f/MCYHBC1-509-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-509-1-f/MCYHBC1-509-1-f_L1_R2.fastq.gz"
MCYHBC1-548-1,300,0,low_coverage_fish,MCYHBC1-548-1,low_coverage_fish,Element AVITI,MCYHBC1-548-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-548-1-m/MCYHBC1-548-1-m_L1_R1.fastq.gz,,PM27/MCYHBC1-548-1-m/MCYHBC1-548-1-m_L1_R2.fastq.gz"
MCYHBC1-564-1,300,0,low_coverage_fish,MCYHBC1-564-1,low_coverage_fish,Element AVITI,MCYHBC1-564-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-564-1-m/MCYHBC1-564-1-m_L1_R1.fastq.gz,,PM27/MCYHBC1-564-1-m/MCYHBC1-564-1-m_L1_R2.fastq.gz"
MCYHBC1-566-1,300,0,low_coverage_fish,MCYHBC1-566-1,low_coverage_fish,Element AVITI,MCYHBC1-566-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-566-1-m/MCYHBC1-566-1-m_L1_R1.fastq.gz,,PM27/MCYHBC1-566-1-m/MCYHBC1-566-1-m_L1_R2.fastq.gz"
MCYHBC1-567-1,300,0,low_coverage_fish,MCYHBC1-567-1,low_coverage_fish,Element AVITI,MCYHBC1-567-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-567-1-m/MCYHBC1-567-1-m_L1_R1.fastq.gz,,PM27/MCYHBC1-567-1-m/MCYHBC1-567-1-m_L1_R2.fastq.gz"
MCYHBC1-568-1,300,0,low_coverage_fish,MCYHBC1-568-1,low_coverage_fish,Element AVITI,MCYHBC1-568-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-568-1-f/MCYHBC1-568-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-568-1-f/MCYHBC1-568-1-f_L1_R2.fastq.gz"
MCYHBC1-570-1,300,0,low_coverage_fish,MCYHBC1-570-1,low_coverage_fish,Element AVITI,MCYHBC1-570-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-570-1-f/MCYHBC1-570-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-570-1-f/MCYHBC1-570-1-f_L1_R2.fastq.gz"
MCYHBC1-571-1,300,0,low_coverage_fish,MCYHBC1-571-1,low_coverage_fish,Element AVITI,MCYHBC1-571-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-571-1-f/MCYHBC1-571-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-571-1-f/MCYHBC1-571-1-f_L1_R2.fastq.gz"
MCYHBC1-575-1,300,0,low_coverage_fish,MCYHBC1-575-1,low_coverage_fish,Element AVITI,MCYHBC1-575-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-575-1-m/MCYHBC1-575-1-m_L1_R1.fastq.gz,,PM27/MCYHBC1-575-1-m/MCYHBC1-575-1-m_L1_R2.fastq.gz"
MCYHBC1-577-1,300,0,low_coverage_fish,MCYHBC1-577-1,low_coverage_fish,Element AVITI,MCYHBC1-577-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-577-1-m/MCYHBC1-577-1-m_L1_R1.fastq.gz,,PM27/MCYHBC1-577-1-m/MCYHBC1-577-1-m_L1_R2.fastq.gz"
MCYHBC1-578-1,300,0,low_coverage_fish,MCYHBC1-578-1,low_coverage_fish,Element AVITI,MCYHBC1-578-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-578-1-f/MCYHBC1-578-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-578-1-f/MCYHBC1-578-1-f_L1_R2.fastq.gz"
MCYHBC1-582-1,300,0,low_coverage_fish,MCYHBC1-582-1,low_coverage_fish,Element AVITI,MCYHBC1-582-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-582-1-f/MCYHBC1-582-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-582-1-f/MCYHBC1-582-1-f_L1_R2.fastq.gz"
MCYHBC1-585-1,300,0,low_coverage_fish,MCYHBC1-585-1,low_coverage_fish,Element AVITI,MCYHBC1-585-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-585-1-f/MCYHBC1-585-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-585-1-f/MCYHBC1-585-1-f_L1_R2.fastq.gz"
MCYHBC1-590-1,300,0,low_coverage_fish,MCYHBC1-590-1,low_coverage_fish,Element AVITI,MCYHBC1-590-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-590-1-f/MCYHBC1-590-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-590-1-f/MCYHBC1-590-1-f_L1_R2.fastq.gz"
MCYHBC1-591-1,300,0,low_coverage_fish,MCYHBC1-591-1,low_coverage_fish,Element AVITI,MCYHBC1-591-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-591-1-f/MCYHBC1-591-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-591-1-f/MCYHBC1-591-1-f_L1_R2.fastq.gz"
MCYHBC1-593-1,300,0,low_coverage_fish,MCYHBC1-593-1,low_coverage_fish,Element AVITI,MCYHBC1-593-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-593-1-f/MCYHBC1-593-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-593-1-f/MCYHBC1-593-1-f_L1_R2.fastq.gz"
MCYHBC1-594-1,300,0,low_coverage_fish,MCYHBC1-594-1,low_coverage_fish,Element AVITI,MCYHBC1-594-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-594-1-f/MCYHBC1-594-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-594-1-f/MCYHBC1-594-1-f_L1_R2.fastq.gz"
MCYHBC1-595-1,300,0,low_coverage_fish,MCYHBC1-595-1,low_coverage_fish,Element AVITI,MCYHBC1-595-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-595-1-f/MCYHBC1-595-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-595-1-f/MCYHBC1-595-1-f_L1_R2.fastq.gz"
MCYHBC1-596-1,300,0,low_coverage_fish,MCYHBC1-596-1,low_coverage_fish,Element AVITI,MCYHBC1-596-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-596-1-m/MCYHBC1-596-1-m_L1_R1.fastq.gz,,PM27/MCYHBC1-596-1-m/MCYHBC1-596-1-m_L1_R2.fastq.gz"
MCYHBC1-598-1,300,0,low_coverage_fish,MCYHBC1-598-1,low_coverage_fish,Element AVITI,MCYHBC1-598-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-598-1-f/MCYHBC1-598-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-598-1-f/MCYHBC1-598-1-f_L1_R2.fastq.gz"
MCYHBC1-601-1,300,0,low_coverage_fish,MCYHBC1-601-1,low_coverage_fish,Element AVITI,MCYHBC1-601-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-601-1-m/MCYHBC1-601-1-m_L1_R1.fastq.gz,,PM27/MCYHBC1-601-1-m/MCYHBC1-601-1-m_L1_R2.fastq.gz"
MCYHBC1-603-1,300,0,low_coverage_fish,MCYHBC1-603-1,low_coverage_fish,Element AVITI,MCYHBC1-603-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-603-1-m/MCYHBC1-603-1-m_L1_R1.fastq.gz,,PM27/MCYHBC1-603-1-m/MCYHBC1-603-1-m_L1_R2.fastq.gz"
MCYHBC1-604-1,300,0,low_coverage_fish,MCYHBC1-604-1,low_coverage_fish,Element AVITI,MCYHBC1-604-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-604-1-m/MCYHBC1-604-1-m_L1_R1.fastq.gz,,PM27/MCYHBC1-604-1-m/MCYHBC1-604-1-m_L1_R2.fastq.gz"
MCYHBC1-605-1,300,0,low_coverage_fish,MCYHBC1-605-1,low_coverage_fish,Element AVITI,MCYHBC1-605-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-605-1-f/MCYHBC1-605-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-605-1-f/MCYHBC1-605-1-f_L1_R2.fastq.gz"
MCYHBC1-606-1,300,0,low_coverage_fish,MCYHBC1-606-1,low_coverage_fish,Element AVITI,MCYHBC1-606-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-606-1-m/MCYHBC1-606-1-m_L1_R1.fastq.gz,,PM27/MCYHBC1-606-1-m/MCYHBC1-606-1-m_L1_R2.fastq.gz"
MCYHBC1-611-1,300,0,low_coverage_fish,MCYHBC1-611-1,low_coverage_fish,Element AVITI,MCYHBC1-611-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-611-1-f/MCYHBC1-611-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-611-1-f/MCYHBC1-611-1-f_L1_R2.fastq.gz"
MCYHBC1-614-1,300,0,low_coverage_fish,MCYHBC1-614-1,low_coverage_fish,Element AVITI,MCYHBC1-614-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-614-1-m/MCYHBC1-614-1-m_L1_R1.fastq.gz,,PM27/MCYHBC1-614-1-m/MCYHBC1-614-1-m_L1_R2.fastq.gz"
MCYHBC1-616-1,300,0,low_coverage_fish,MCYHBC1-616-1,low_coverage_fish,Element AVITI,MCYHBC1-616-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-616-1-f/MCYHBC1-616-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-616-1-f/MCYHBC1-616-1-f_L1_R2.fastq.gz"
MCYHBC1-617-1,300,0,low_coverage_fish,MCYHBC1-617-1,low_coverage_fish,Element AVITI,MCYHBC1-617-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-617-1-m/MCYHBC1-617-1-m_L1_R1.fastq.gz,,PM27/MCYHBC1-617-1-m/MCYHBC1-617-1-m_L1_R2.fastq.gz"
MCYHBC1-621-1,300,0,low_coverage_fish,MCYHBC1-621-1,low_coverage_fish,Element AVITI,MCYHBC1-621-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-621-1-f/MCYHBC1-621-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-621-1-f/MCYHBC1-621-1-f_L1_R2.fastq.gz"
MCYHBC1-623-1,300,0,low_coverage_fish,MCYHBC1-623-1,low_coverage_fish,Element AVITI,MCYHBC1-623-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-623-1-f/MCYHBC1-623-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-623-1-f/MCYHBC1-623-1-f_L1_R2.fastq.gz"
MCYHBC1-624-1,300,0,low_coverage_fish,MCYHBC1-624-1,low_coverage_fish,Element AVITI,MCYHBC1-624-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-624-1-f/MCYHBC1-624-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-624-1-f/MCYHBC1-624-1-f_L1_R2.fastq.gz"
MCYHBC1-627-1,300,0,low_coverage_fish,MCYHBC1-627-1,low_coverage_fish,Element AVITI,MCYHBC1-627-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-627-1-f/MCYHBC1-627-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-627-1-f/MCYHBC1-627-1-f_L1_R2.fastq.gz"
MCYHBC1-630-1,300,0,low_coverage_fish,MCYHBC1-630-1,low_coverage_fish,Element AVITI,MCYHBC1-630-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-630-1-f/MCYHBC1-630-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-630-1-f/MCYHBC1-630-1-f_L1_R2.fastq.gz"
MCYHBC1-634-1,300,0,low_coverage_fish,MCYHBC1-634-1,low_coverage_fish,Element AVITI,MCYHBC1-634-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-634-1-f/MCYHBC1-634-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-634-1-f/MCYHBC1-634-1-f_L1_R2.fastq.gz"
MCYHBC1-635-1,300,0,low_coverage_fish,MCYHBC1-635-1,low_coverage_fish,Element AVITI,MCYHBC1-635-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-635-1-f/MCYHBC1-635-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-635-1-f/MCYHBC1-635-1-f_L1_R2.fastq.gz"
MCYHBC1-636-1,300,0,low_coverage_fish,MCYHBC1-636-1,low_coverage_fish,Element AVITI,MCYHBC1-636-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-636-1-f/MCYHBC1-636-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-636-1-f/MCYHBC1-636-1-f_L1_R2.fastq.gz"
MCYHBC1-637-1,300,0,low_coverage_fish,MCYHBC1-637-1,low_coverage_fish,Element AVITI,MCYHBC1-637-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-637-1-f/MCYHBC1-637-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-637-1-f/MCYHBC1-637-1-f_L1_R2.fastq.gz"
