SampleID,RunID,ReadLength,TotalBases,ProjectID,Instrument,LibraryID,LibraryLayout,LibrarySource,Platform,FileLocations,Organism,Ecogroup,File,ProjectID_2
SAMEA6147768,ERR3634107,302,31840340482,PRJEB15289,HiSeq X Ten,DN461383W:E1,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR3634107.unmapped_marked_adapters.bam,Astatotilapia rukwa blue,Riverine,,MalinskyData
SAMEA6147767,ERR3634108,302,27454946840,PRJEB15289,HiSeq X Ten,DN461383W:F1,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR3634108.unmapped_marked_adapters.bam,Astatotilapia rukwa sunset,Riverine,,MalinskyData
SAMEA6147765,ERR3634109,302,29880616578,PRJEB15289,HiSeq X Ten,DN461383W:G1,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR3634109.unmapped_marked_adapters.bam,Astatotilapia rukwa large yellow,Riverine,,MalinskyData
SAMEA6147769,ERR3634110,302,27587069424,PRJEB15289,HiSeq X Ten,DN461383W:A2,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR3634110.unmapped_marked_adapters.bam,Astatotilapia ruaha blue,Riverine,,MalinskyData
SAMEA6147766,ERR3634111,302,32771478660,PRJEB15289,HiSeq X Ten,DN461383W:B2,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR3634111.unmapped_marked_adapters.bam,Haplochromis vanheusdeni,Riverine,,MalinskyData
SAMEA6147771,ERR3634112,302,30338484214,PRJEB15289,HiSeq X Ten,DN461383W:C2,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR3634112.unmapped_marked_adapters.bam,Astatotilapia ruaha yellow,Riverine,,MalinskyData
SAMEA6147772,ERR3634113,302,23917803852,PRJEB15289,HiSeq X Ten,DN461383W:E2,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR3634113.unmapped_marked_adapters.bam,Astatotilapia ruaha yellow,Riverine,,MalinskyData
SAMEA6147770,ERR3634114,302,30358601038,PRJEB15289,HiSeq X Ten,DN461234K:E12,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR3634114.unmapped_marked_adapters.bam,Astatotilapia rufiji blue,Riverine,,MalinskyData
SAMEA6147764,ERR3634115,302,29683024018,PRJEB15289,HiSeq X Ten,DN461234K:F12,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR3634115.unmapped_marked_adapters.bam,Astatotilapia rufiji blue,Riverine,,MalinskyData
SAMEA4032137,ERR1822247,302,30183854174,PRJEB15289,HiSeq X Ten,DN461234K:E11,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1822247.unmapped_marked_adapters.bam,Diplotaxodon similis,Diplotaxodon,,MalinskyData
SAMEA4033330,ERR1822248,302,32392518490,PRJEB15289,HiSeq X Ten,DN461234K:F11,PAIRED,GENOMIC,ILLUMINA,PRJEB15289/ERR1822248.unmapped_marked_adapters.bam,Dimidiochromis kiwinge,Shallow_Benthic,,MalinskyData
