SampleID,Sex,Parents,CVAnalysis,YHPedigree,PhylogenyFigure,BionanoData,PCAFigure,ReadLength,TotalBases,ProjectID,Platform,Organism,Ecogroup,ProjectID_PTM,LG2,LG9,LG10,LG11,LG13,LG20a,LG20b,Ecogroup_PTM,TaylorsSingleNuc,CorePCA,LabStrain,LowCoverage (<9x),Notes
1B11,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,Yes,
1B18,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
1B4,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
1B5,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
1C11,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
1C17,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
1C4,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
1C5,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
2B10,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,Exclude,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
2B13,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,Exclude,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
2B17,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,Exclude,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
2B19,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,Exclude,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
2C10,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,Exclude,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
2C14,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,Exclude,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
2C18,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,Exclude,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
2C19,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,Exclude,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
3B2,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
3B6,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
3B7,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
3B9,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
3C2,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
3C6,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
3C7,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
3C9,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,Exclude,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
4B12,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
4B14,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
4B25,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
4C12,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
4C13,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
4C25,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
5B22,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
5B23,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
5B24,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
5B26,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
5C22,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
5C23,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
5C24,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
5C26,f,,No,No,No,No,No,302,0.0,BigBrain,ILLUMINA,Mchenga conophoros,Utaka,MC_males,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
MC-002-f,f,,No,No,No,No,No,300,0.0,Multiome,ILLUMINA,Mchenga conophoros,Utaka,MC_females,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
MC-006-f,f,,No,No,No,No,No,300,0.0,Multiome,ILLUMINA,Mchenga conophoros,Utaka,MC_females,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
MC-007-f,f,,No,No,No,No,No,300,0.0,Multiome,ILLUMINA,Mchenga conophoros,Utaka,MC_females,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
MC-1G2G-f,f,,No,No,No,No,No,300,0.0,Multiome,ILLUMINA,Mchenga conophoros,Utaka,MC_females,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
MC-1O7O-f,f,,No,No,No,No,No,300,0.0,Multiome,ILLUMINA,Mchenga conophoros,Utaka,MC_females,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
MC-1R6R-f,f,,No,No,No,No,No,300,0.0,Multiome,ILLUMINA,Mchenga conophoros,Utaka,MC_females,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
MC-2B4B-f,f,,No,No,No,No,No,300,0.0,Multiome,ILLUMINA,Mchenga conophoros,Utaka,MC_females,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
MC-2G8G-f,f,,No,No,No,No,No,300,0.0,Multiome,ILLUMINA,Mchenga conophoros,Utaka,MC_females,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
MC-2P4P-f,f,,No,No,No,No,No,300,0.0,Multiome,ILLUMINA,Mchenga conophoros,Utaka,MC_females,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
MC-3P6P-f,f,,No,No,No,No,No,300,0.0,Multiome,ILLUMINA,Mchenga conophoros,Utaka,MC_females,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
MC-3R6R-f,f,,No,No,No,No,No,300,0.0,Multiome,ILLUMINA,Mchenga conophoros,Utaka,MC_females,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
MC-4O5O-f,f,,No,No,No,No,No,300,0.0,Multiome,ILLUMINA,Mchenga conophoros,Utaka,MC_females,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
MC-5B6B-f,f,,No,No,No,No,No,300,0.0,Multiome,ILLUMINA,Mchenga conophoros,Utaka,MC_females,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,
MC-5G11G-f,f,,No,No,No,No,No,300,0.0,Multiome,ILLUMINA,Mchenga conophoros,Utaka,MC_females,Normal,Inverted,Normal,Inverted,Normal,Inverted,Inverted,Shallow_Benthic,,No,Yes,,Temporarily removed from YHPedigree since the mom of the hybrids was not GT3 aligned as of 2024.09.18
