,SampleID,metadata_id
0,MZ_1_m,MZ_1_m_Mbuna
1,CV_2_f,CV_2_f_Utaka
2,CV_1_m,CV_1_m_Utaka
3,MZ_2_f,MZ_2_f_Mbuna
4,MC_1_m,MC_1_m_Utaka
5,YH_1_m,YH_1_m_Deep_Benthic
6,MC_2_f,MC_2_f_Utaka
7,SAMN08051120,SAMN08051120_Mbuna
8,SAMN06701600,SAMN06701600_Shallow_Benthic
9,SAMN06685753,SAMN06685753_Shallow_Benthic
10,SAMN06685764,SAMN06685764_Shallow_Benthic
11,SAMN08051115,SAMN08051115_Mbuna
12,SAMN06685763,SAMN06685763_Shallow_Benthic
13,SAMN06685757,SAMN06685757_Utaka
14,SAMN06685712,SAMN06685712_Shallow_Benthic
17,SAMN08051114,SAMN08051114_Mbuna
18,SAMEA4032109,SAMEA4032109_Shallow_Benthic
19,SAMN06685767,SAMN06685767_Mbuna
20,SAMN06685752,SAMN06685752_Shallow_Benthic
21,SAMEA4032052,SAMEA4032052_Shallow_Benthic
22,SAMN06685761,SAMN06685761_Shallow_Benthic
23,SAMN08051121,SAMN08051121_Mbuna
24,SAMEA4033287,SAMEA4033287_Diplotaxodon
25,SAMN06685750,SAMN06685750_Utaka
26,SAMEA4033312,SAMEA4033312_Shallow_Benthic
27,SAMN06685766,SAMN06685766_Shallow_Benthic
28,SAMN08051119,SAMN08051119_Mbuna
29,SAMEA4033324,SAMEA4033324_Utaka
30,SAMN06685749,SAMN06685749_Shallow_Benthic
31,SAMEA4032068,SAMEA4032068_Mbuna
32,SAMN08051113,SAMN08051113_Mbuna
33,SAMEA4033330,SAMEA4033330_Shallow_Benthic
34,SAMN06685754,SAMN06685754_Utaka
35,SAMN06685765,SAMN06685765_Shallow_Benthic
36,SAMEA4032096,SAMEA4032096_Diplotaxodon
37,SAMN06685762,SAMN06685762_Shallow_Benthic
38,SAMN06685758,SAMN06685758_Shallow_Benthic
39,SAMN06685756,SAMN06685756_Shallow_Benthic
41,SAMN06685755,SAMN06685755_Deep_Benthic
42,SAMN06685751,SAMN06685751_Shallow_Benthic
