seq_id,source,type,start,end,score,strand,phase,attributes
NC_036790.1,Gnomon,gene,17627,44537,.,+,.,ID=gene-hace1;Dbxref=GeneID:101472105;Name=hace1;gbkey=Gene;gene=hace1;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,45982,60660,.,-,.,ID=gene-preb;Dbxref=GeneID:101469802;Name=preb;gbkey=Gene;gene=preb;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,70220,133930,.,+,.,ID=gene-LOC101468640;Dbxref=GeneID:101468640;Name=LOC101468640;gbkey=Gene;gene=LOC101468640;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,137694,154164,.,+,.,ID=gene-LOC101471830;Dbxref=GeneID:101471830;Name=LOC101471830;gbkey=Gene;gene=LOC101471830;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,161923,166570,.,-,.,ID=gene-cnih4;Dbxref=GeneID:101468358;Name=cnih4;gbkey=Gene;gene=cnih4;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,173777,187069,.,-,.,ID=gene-LOC101468052;Dbxref=GeneID:101468052;Name=LOC101468052;gbkey=Gene;gene=LOC101468052;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,191831,198789,.,-,.,ID=gene-rwdd1;Dbxref=GeneID:101467444;Name=rwdd1;gbkey=Gene;gene=rwdd1;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,199025,205237,.,+,.,ID=gene-rrp15;Dbxref=GeneID:101467752;Name=rrp15;gbkey=Gene;gene=rrp15;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,450439,451481,.,+,.,ID=gene-LOC112435542;Dbxref=GeneID:112435542;Name=LOC112435542;gbkey=Gene;gene=LOC112435542;gene_biotype=lncRNA
NC_036790.1,Gnomon,gene,452865,455897,.,+,.,ID=gene-LOC106676151;Dbxref=GeneID:106676151;Name=LOC106676151;gbkey=Gene;gene=LOC106676151;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,636961,974893,.,-,.,ID=gene-LOC101466412;Dbxref=GeneID:101466412;Name=LOC101466412;gbkey=Gene;gene=LOC101466412;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,1069094,1071126,.,+,.,ID=gene-LOC112435589;Dbxref=GeneID:112435589;Name=LOC112435589;gbkey=Gene;gene=LOC112435589;gene_biotype=lncRNA
NC_036790.1,Gnomon,gene,1078070,1157151,.,-,.,ID=gene-LOC101467357;Dbxref=GeneID:101467357;Name=LOC101467357;gbkey=Gene;gene=LOC101467357;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,1161101,1195947,.,-,.,ID=gene-taf2;Dbxref=GeneID:101467863;Name=taf2;gbkey=Gene;gene=taf2;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,1220510,1263503,.,-,.,ID=gene-aldh2;Dbxref=GeneID:101468171;Name=aldh2;gbkey=Gene;gene=aldh2;gene_biotype=protein_coding
NC_036790.1,Gnomon,gene,1265698,1272784,.,+,.,ID=gene-rbm42;Dbxref=GeneID:101468656;Name=rbm42;gbkey=Gene;gene=rbm42;gene_biotype=protein_coding
