,InsertionLocation,PairChrom,BinnedPair
0,24869679,NC_036781.1,46800000
1,24869679,NC_036783.1,2020000
2,24869679,NC_036785.1,24210000
3,24869679,NC_036785.1,40940000
4,24869679,NC_036791.1,8700000
5,24869679,NC_036792.1,24590000
6,24869679,NC_036793.1,4420000
7,24869679,NC_036796.1,19100000
8,24869679,NC_036796.1,19110000
9,24869679,NC_036797.1,31050000
10,24869679,NC_036800.1,12010000
11,24869679,NC_036800.1,33960000
12,24869679,NC_036801.1,20240000
13,24918628,NC_036780.1,2850000
14,24918628,NC_036780.1,2860000
15,24918628,NC_036781.1,12850000
16,24918628,NC_036781.1,19830000
17,24918628,NC_036782.1,22390000
18,24918628,NC_036782.1,22400000
19,24918628,NC_036782.1,22430000
20,24918628,NC_036782.1,24010000
21,24918628,NC_036782.1,24020000
22,24918628,NC_036786.1,9160000
23,24918628,NC_036786.1,9170000
24,24918628,NC_036786.1,65510000
25,24918628,NC_036787.1,14620000
26,24918628,NC_036787.1,14630000
27,24918628,NC_036788.1,3360000
28,24918628,NC_036788.1,3370000
29,24918628,NC_036794.1,12540000
30,24918628,NC_036795.1,16310000
31,24918628,NC_036796.1,500000
32,24918628,NC_036796.1,32070000
33,24918628,NC_036796.1,32080000
34,24918628,NC_036797.1,13130000
35,24918628,NC_036797.1,20480000
36,24918628,NC_036800.1,31630000
37,24918628,NC_036800.1,31640000
38,24921178,NC_036782.1,26890000
39,24921178,NC_036782.1,42380000
40,24921178,NC_036782.1,54030000
41,24921178,NC_036782.1,59460000
42,24921178,NC_036782.1,59550000
43,24921178,NC_036782.1,61480000
44,24921178,NC_036783.1,12350000
45,24921178,NC_036783.1,17620000
46,24921178,NC_036783.1,23150000
47,24921178,NC_036784.1,37550000
48,24921178,NC_036784.1,37560000
49,24921178,NC_036785.1,30420000
50,24921178,NC_036786.1,60470000
51,24921178,NC_036786.1,62370000
52,24921178,NC_036788.1,33630000
53,24921178,NC_036790.1,8070000
54,24921178,NC_036790.1,32800000
55,24921178,NC_036790.1,32810000
56,24921178,NC_036791.1,9900000
57,24921178,NC_036791.1,22520000
58,24921178,NC_036793.1,5340000
59,24921178,NC_036793.1,6180000
60,24921178,NC_036793.1,6190000
61,24921178,NC_036795.1,10670000
62,24921178,NC_036795.1,10910000
63,24921178,NC_036796.1,9980000
64,24921178,NC_036796.1,18580000
65,24921178,NC_036797.1,4460000
66,24921178,NC_036798.1,11790000
67,24921178,NC_036798.1,25520000
68,24921178,NC_036800.1,28040000
69,24921178,NC_036801.1,22550000
70,24921178,NC_036801.1,22560000
71,24921178,NC_036801.1,47720000
72,24921178,NW_020192379.1,610000
73,24921178,NW_020192592.1,9260000
74,24921394,NC_036782.1,26890000
75,24921394,NC_036782.1,42380000
76,24921394,NC_036782.1,54030000
77,24921394,NC_036782.1,59460000
78,24921394,NC_036782.1,59550000
79,24921394,NC_036782.1,61480000
80,24921394,NC_036783.1,12350000
81,24921394,NC_036783.1,17620000
82,24921394,NC_036783.1,23150000
83,24921394,NC_036784.1,37550000
84,24921394,NC_036784.1,37560000
85,24921394,NC_036785.1,30420000
86,24921394,NC_036786.1,60470000
87,24921394,NC_036786.1,62370000
88,24921394,NC_036788.1,33630000
89,24921394,NC_036790.1,8070000
90,24921394,NC_036790.1,32800000
91,24921394,NC_036790.1,32810000
92,24921394,NC_036791.1,9900000
93,24921394,NC_036791.1,22520000
94,24921394,NC_036793.1,5340000
95,24921394,NC_036793.1,6180000
96,24921394,NC_036793.1,6190000
97,24921394,NC_036795.1,10670000
98,24921394,NC_036795.1,10910000
99,24921394,NC_036796.1,9980000
100,24921394,NC_036796.1,18580000
101,24921394,NC_036797.1,4460000
102,24921394,NC_036798.1,11790000
103,24921394,NC_036798.1,25520000
104,24921394,NC_036800.1,28040000
105,24921394,NC_036801.1,22550000
106,24921394,NC_036801.1,22560000
107,24921394,NC_036801.1,47720000
108,24921394,NW_020192379.1,610000
109,24921394,NW_020192592.1,9260000
